;book_id;title;author;avg_rating;user_rating;bookshelf
87;13623150;Destroy Me (Shatter Me, #1.5);Mafi, Tahereh;4.03;;to-read
88;34992929;Restore Me (Shatter Me, #4);Mafi, Tahereh;4.17;;to-read
89;13188676;Ignite Me (Shatter Me, #3);Mafi, Tahereh;4.47;;to-read
90;13104080;Unravel Me (Shatter Me, #2);Mafi, Tahereh;4.16;;to-read
91;10429045;Shatter Me (Shatter Me, #1);Mafi, Tahereh;3.87;;to-read
92;62816044;A Curse for True Love (Once Upon a Broken Heart, #3);Garber, Stephanie;4.18;;to-read
93;56554281;This Woven Kingdom (This Woven Kingdom, #1);Mafi, Tahereh;4.00;;to-read
94;59918505;The Never King (Vicious Lost Boys, #1);Crowe, Nikki St.;3.72;;to-read
95;58340706;One Dark Window (The Shepherd King, #1);Gillig, Rachel;4.34;;to-read
96;59808071;The Ballad of Never After (Once Upon a Broken Heart, #2);Garber, Stephanie;4.56;;to-read
97;57191885;The Witch Collector (Witch Walker, #1);Weaks, Charissa;3.88;;to-read
98;22328546;Red Queen (Red Queen, #1);Aveyard, Victoria;4.01;;to-read
99;35796008;Dance of Thieves (Dance of Thieves, #1);Pearson, Mary E.;4.17;;to-read
100;59339681;What Lies Beyond the Veil (Of Flesh & Bone, #1);Woods, Harper L.;3.66;;to-read
101;26032912;The Queen of Nothing (The Folk of the Air, #3);Black, Holly;4.37;;to-read
102;26032887;The Wicked King (The Folk of the Air, #2);Black, Holly;4.32;;to-read
103;40132775;House of Sky and Breath (Crescent City, #2);Maas, Sarah J.;4.51;;to-read
104;49826643;Daughter of No Worlds (The War of Lost Hearts, #1);Broadbent, Carissa;4.08;;to-read
105;52735921;Kingdom of the Wicked (Kingdom of the Wicked, #1);Maniscalco, Kerri;3.91;;to-read
106;40024139;Serpent & Dove (Serpent & Dove, #1);Mahurin, Shelby;4.00;;to-read
107;44778083;House of Earth and Blood (Crescent City, #1);Maas, Sarah J.;4.48;;to-read
108;55215339;A Touch of Darkness (Hades x Persephone Saga, #1);St. Clair, Scarlett;3.83;;to-read
109;62335396;The Ashes and the Star-Cursed King (Crowns of Nyaxia, #2);Broadbent, Carissa;4.20;;to-read
110;60784546;Divine Rivals (Letters of Enchantment, #1);Ross, Rebecca;4.26;;to-read
111;60714999;The Serpent and the Wings of Night (Crowns of Nyaxia, #1);Broadbent, Carissa;4.37;;to-read
112;42070091;Crochet and Cauldrons (Vampire Knitting Club, #3);Warren, Nancy;4.10;;to-read
113;42073781;Stitches and Witches (Vampire Knitting Club, #2);Warren, Nancy;4.05;;to-read
114;41882197;The Vampire Knitting Club (Vampire Knitting Club, #1);Warren, Nancy;3.94;;to-read
115;61246394;Trial of the Sun Queen (Artefacts of Ouranos, #1);Tuli, Nisha J;3.92;;to-read
116;58483167;Untitled (Blood and Ash, #7);Armentrout, Jennifer L.;4.00;;to-read
117;58483123;The Primal of Blood and Bone (Blood and Ash, #6);Armentrout, Jennifer L.;4.20;;to-read
118;63844859;Visions of Flesh and Blood: A Blood and Ash/Flesh and Fire Compendium (Blood and Ash, #5.5);Armentrout, Jennifer L.;4.19;;to-read
